number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
17,0.43738190748786787,2025-05-06 14:02:23.128082,2025-05-06 14:03:48.386956,0 days 00:01:25.258874,0.8006058753803786,0.011998688840227945,11,275,1.6110201866347016e-05,0.0001506838722451926,0.7629718800090083,COMPLETE
18,0.431520933836475,2025-05-06 14:03:48.388864,2025-05-06 14:04:21.349062,0 days 00:00:32.960198,0.861371243553152,0.02854087303068381,8,434,0.0006851441262445368,8.463653466486672,0.9951729183217687,COMPLETE
19,0.461225100907788,2025-05-06 14:04:21.350254,2025-05-06 14:04:45.028769,0 days 00:00:23.678515,0.9004074122768968,0.29207199394061617,6,662,0.15590601295242904,0.011321910135665306,0.9948541483914395,COMPLETE
20,0.43453582471762714,2025-05-06 14:04:45.030143,2025-05-06 14:05:11.390661,0 days 00:00:26.360518,0.5940967804609931,0.014968425556289518,8,440,0.0017020295821804597,6.393849826186983,0.8834965384643821,COMPLETE
21,0.43290710797215526,2025-05-06 14:05:11.391897,2025-05-06 14:05:34.632994,0 days 00:00:23.241097,0.7303307016843175,0.026863492288889294,8,382,0.00039628492196910566,8.322822089580623e-08,0.7364166290540904,COMPLETE
22,0.4336852306990055,2025-05-06 14:05:34.634911,2025-05-06 14:05:49.228900,0 days 00:00:14.593989,0.7264452759300161,0.02740357180067132,7,378,0.012593557690906348,8.39608192143236,0.7176172307342232,COMPLETE
23,0.4330537435615775,2025-05-06 14:05:49.232737,2025-05-06 14:06:12.634228,0 days 00:00:23.401491,0.7227072216188368,0.02004242161229018,8,413,0.017275548288699913,8.609524556650806,0.7112409187921798,COMPLETE
24,0.42969982146376384,2025-05-06 14:06:12.635518,2025-05-06 14:06:42.577754,0 days 00:00:29.942236,0.8003906932208116,0.018352349929421082,8,463,0.8462632730238925,0.9896531398236298,0.6089714230841782,COMPLETE
25,0.43191329745572515,2025-05-06 14:06:42.579477,2025-05-06 14:07:41.953642,0 days 00:00:59.374165,0.797934667339069,0.010049180487251378,10,493,0.6669189691101061,0.7290334180959589,0.5111201592517328,COMPLETE
26,0.4748587408762446,2025-05-06 14:07:41.955008,2025-05-06 14:08:53.420797,0 days 00:01:11.465789,0.8912667798990577,0.004101571764950338,11,496,3.020086916388784,0.865953930631614,0.5307229954240277,COMPLETE
27,0.4305194398360091,2025-05-06 14:08:53.423739,2025-05-06 14:10:12.614118,0 days 00:01:19.190379,0.7891173396288864,0.009513094078622917,10,631,0.7563203598895165,0.6487438330006625,0.5011716339782637,COMPLETE
28,0.4479050679451305,2025-05-06 14:10:12.615539,2025-05-06 14:11:41.256039,0 days 00:01:28.640500,0.8118983327022167,0.004134027179915866,10,632,0.9006825338207617,0.12854901318147682,0.5773701402910894,COMPLETE
29,0.4805390793099734,2025-05-06 14:11:41.258264,2025-05-06 14:14:14.440416,0 days 00:02:33.182152,0.9162530398613624,0.0023988616989720846,12,689,1.3834651391715413,0.1739911880567563,0.6142920894517032,COMPLETE
30,0.49559979822479755,2025-05-06 14:14:14.441843,2025-05-06 14:14:48.692634,0 days 00:00:34.250791,0.9843600820766596,0.007375973142053949,10,195,0.37450489621786726,1.8694771657083398,0.5021096883148041,COMPLETE
31,0.4312154112434802,2025-05-06 14:14:48.694756,2025-05-06 14:16:06.915449,0 days 00:01:18.220693,0.7932667208681644,0.010705663976833892,10,489,0.04318683634048316,1.3691113075760748,0.5089165765289956,COMPLETE
32,0.43275306957181003,2025-05-06 14:16:06.916765,2025-05-06 14:17:11.419753,0 days 00:01:04.502988,0.8783357003282113,0.014000545747618252,9,479,0.05677721639730143,0.030824474863250753,0.5682660687587989,COMPLETE
33,0.43703553318166416,2025-05-06 14:17:11.421169,2025-05-06 14:19:16.381454,0 days 00:02:04.960285,0.7746560257200703,0.005992619593319161,11,573,0.21950204669986806,1.7061086719107719,0.6037230837790404,COMPLETE
